Message ke-0;2021-11-30 01:40:30.995344
Message ke-1;2021-11-30 01:40:30.998641
Message ke-2;2021-11-30 01:40:31.006853
Message ke-3;2021-11-30 01:40:31.017023
Message ke-4;2021-11-30 01:40:31.023087
Message ke-5;2021-11-30 01:40:31.033056
Message ke-6;2021-11-30 01:40:31.046983
Message ke-7;2021-11-30 01:40:31.059824
Message ke-8;2021-11-30 01:40:31.067712
Message ke-9;2021-11-30 01:40:31.078032
Message ke-10;2021-11-30 01:40:31.086164
Message ke-11;2021-11-30 01:40:31.091076
Message ke-12;2021-11-30 01:40:31.104281
Message ke-13;2021-11-30 01:40:31.114917
Message ke-14;2021-11-30 01:40:31.120634
Message ke-15;2021-11-30 01:40:31.127983
Message ke-16;2021-11-30 01:40:31.133926
Message ke-17;2021-11-30 01:40:31.144125
Message ke-18;2021-11-30 01:40:31.150463
Message ke-19;2021-11-30 01:40:31.155364
Message ke-20;2021-11-30 01:40:31.165643
Message ke-21;2021-11-30 01:40:31.172218
Message ke-22;2021-11-30 01:40:31.181453
Message ke-23;2021-11-30 01:40:31.189338
Message ke-24;2021-11-30 01:40:31.204337
Message ke-25;2021-11-30 01:40:31.215574
Message ke-26;2021-11-30 01:40:31.223514
Message ke-27;2021-11-30 01:40:31.240515
Message ke-28;2021-11-30 01:40:31.251799
Message ke-29;2021-11-30 01:40:31.257920
Message ke-30;2021-11-30 01:40:31.268226
Message ke-31;2021-11-30 01:40:31.274494
Message ke-32;2021-11-30 01:40:31.290720
Message ke-33;2021-11-30 01:40:31.314829
Message ke-34;2021-11-30 01:40:31.322709
Message ke-35;2021-11-30 01:40:31.341004
Message ke-36;2021-11-30 01:40:31.355626
Message ke-37;2021-11-30 01:40:31.370582
Message ke-38;2021-11-30 01:40:31.387629
Message ke-39;2021-11-30 01:40:31.405189
Message ke-40;2021-11-30 01:40:31.421528
Message ke-41;2021-11-30 01:40:31.447828
Message ke-42;2021-11-30 01:40:31.468207
Message ke-43;2021-11-30 01:40:31.474300
Message ke-44;2021-11-30 01:40:31.488252
Message ke-45;2021-11-30 01:40:31.572856
Message ke-46;2021-11-30 01:40:31.586844
Message ke-47;2021-11-30 01:40:31.630114
Message ke-48;2021-11-30 01:40:31.641083
Message ke-49;2021-11-30 01:40:31.672703
Message ke-50;2021-11-30 01:40:31.686100
Message ke-51;2021-11-30 01:40:31.701806
Message ke-52;2021-11-30 01:40:31.717709
Message ke-53;2021-11-30 01:40:31.729554
Message ke-54;2021-11-30 01:40:31.750585
Message ke-55;2021-11-30 01:40:31.766037
Message ke-56;2021-11-30 01:40:31.773158
Message ke-57;2021-11-30 01:40:31.787545
Message ke-58;2021-11-30 01:40:31.795145
Message ke-59;2021-11-30 01:40:31.804818
Message ke-60;2021-11-30 01:40:31.816009
Message ke-61;2021-11-30 01:40:31.820919
Message ke-62;2021-11-30 01:40:31.823924
Message ke-63;2021-11-30 01:40:31.838244
Message ke-64;2021-11-30 01:40:31.841243
Message ke-65;2021-11-30 01:40:31.853386
Message ke-66;2021-11-30 01:40:31.864081
Message ke-67;2021-11-30 01:40:31.869289
Message ke-68;2021-11-30 01:40:31.874284
Message ke-69;2021-11-30 01:40:31.884768
Message ke-70;2021-11-30 01:40:31.891164
Message ke-71;2021-11-30 01:40:31.902588
Message ke-72;2021-11-30 01:40:31.912182
Message ke-73;2021-11-30 01:40:31.918609
Message ke-74;2021-11-30 01:40:31.922641
Message ke-75;2021-11-30 01:40:31.930993
Message ke-76;2021-11-30 01:40:31.939263
Message ke-77;2021-11-30 01:40:31.948474
Message ke-78;2021-11-30 01:40:31.957090
Message ke-79;2021-11-30 01:40:31.969524
Message ke-80;2021-11-30 01:40:31.974371
Message ke-81;2021-11-30 01:40:31.983376
Message ke-82;2021-11-30 01:40:31.987373
Message ke-83;2021-11-30 01:40:32.001079
Message ke-84;2021-11-30 01:40:32.006618
Message ke-85;2021-11-30 01:40:32.019080
Message ke-86;2021-11-30 01:40:32.027666
Message ke-87;2021-11-30 01:40:32.037746
Message ke-88;2021-11-30 01:40:32.046746
Message ke-89;2021-11-30 01:40:32.068296
Message ke-90;2021-11-30 01:40:32.080935
Message ke-91;2021-11-30 01:40:32.089990
Message ke-92;2021-11-30 01:40:32.104489
Message ke-93;2021-11-30 01:40:32.122640
Message ke-94;2021-11-30 01:40:32.178565
Message ke-95;2021-11-30 01:40:32.234606
Message ke-96;2021-11-30 01:40:32.239299
Message ke-97;2021-11-30 01:40:32.247800
Message ke-98;2021-11-30 01:40:32.283281
Message ke-99;2021-11-30 01:40:32.290331
