Message ke-0;99;yxyO7/12yqixKgLPR67MMw==;1642473966.054729
Message ke-1;78;C1RgmWcigIyxZIh2CZdSqg==;1642473966.055257
Message ke-2;78;C1RgmWcigIyxZIh2CZdSqg==;1642473966.0556
Message ke-3;99;yxyO7/12yqixKgLPR67MMw==;1642473966.055963
Message ke-4;67;jyqXhgA+3WzQBuEX/PrWOA==;1642473966.056312
Message ke-5;71;w1ENVkAFy1B0eMqUhavGPg==;1642473966.056668
Message ke-6;77;uZUy4qSThAY9ZlzEgjBwOg==;1642473966.057013
Message ke-7;75;6zPXmXlgQjdsP+bTU7wdmA==;1642473966.057359
Message ke-8;60;6Rp8P3s2bv1pv4OXuMAxhg==;1642473966.057717
Message ke-9;98;UvwVU3Jt0Q5k2SEy/yYG1w==;1642473966.05816
Message ke-10;85;yIGjx8pL70wW3gGetCVgNQ==;1642473966.0585
Message ke-11;81;EcADeIsTjNJtSyyvy72edg==;1642473966.058839
Message ke-12;66;cCBrFusEe3UAHC2PMjvrGw==;1642473966.059687
Message ke-13;60;6Rp8P3s2bv1pv4OXuMAxhg==;1642473966.061337
Message ke-14;80;6lOHMdvXMu89hUr6ozL/TQ==;1642473966.063204
Message ke-15;80;6lOHMdvXMu89hUr6ozL/TQ==;1642473966.064825
Message ke-16;62;2jiVRqps4XY1fYeADIu96Q==;1642473966.066488
Message ke-17;70;9jK3s6kKYNLd6X4bdLJ61w==;1642473966.068088
Message ke-18;62;2jiVRqps4XY1fYeADIu96Q==;1642473966.069764
Message ke-19;94;cRN7jgv9xMdjvxT18E6gug==;1642473966.071409
Message ke-20;79;pBfAZWwQuc8x+oR+UVKyUQ==;1642473966.073053
Message ke-21;70;9jK3s6kKYNLd6X4bdLJ61w==;1642473966.074949
Message ke-22;89;EClpuzmVBd/cAD+IjPLg0g==;1642473966.076657
Message ke-23;70;9jK3s6kKYNLd6X4bdLJ61w==;1642473966.078517
Message ke-24;64;kQTODyu0gr6onK3V8iSl1g==;1642473966.080173
Message ke-25;100;j62GCxMAGN503cmPYY15MA==;1642473966.081992
Message ke-26;63;S2xLmbwUCBTHiPCrGfQrYw==;1642473966.083847
Message ke-27;92;SeZ3NwA0F0cOHHUOdqtKRw==;1642473966.085688
Message ke-28;70;9jK3s6kKYNLd6X4bdLJ61w==;1642473966.087348
Message ke-29;97;WXVVIcFWj9ouu2mVpOmFFg==;1642473966.08897
Message ke-30;96;+TSMpbMyl+QJZN8Fr0XcLw==;1642473966.090956
Message ke-31;94;cRN7jgv9xMdjvxT18E6gug==;1642473966.092853
Message ke-32;62;2jiVRqps4XY1fYeADIu96Q==;1642473966.094913
Message ke-33;72;kiixP50VIQeODzszBv/1ag==;1642473966.096592
Message ke-34;87;QI4ZvGxt6KUXq994xv1pUg==;1642473966.098699
Message ke-35;84;yMkFyd3F601OzEzZip0E0Q==;1642473966.100346
Message ke-36;83;bk7HFr7RN++HoGM7YrSIIA==;1642473966.101981
Message ke-37;93;dByOSbtCCBS5IuavFwY8PQ==;1642473966.103713
Message ke-38;94;cRN7jgv9xMdjvxT18E6gug==;1642473966.105456
Message ke-39;90;kmw0BjI6ki5EjkuC/H6plQ==;1642473966.107209
Message ke-40;65;Hfo7zqyKdIYkzsWGD4tmcw==;1642473966.109133
Message ke-41;67;jyqXhgA+3WzQBuEX/PrWOA==;1642473966.111481
Message ke-42;89;EClpuzmVBd/cAD+IjPLg0g==;1642473966.113371
Message ke-43;60;6Rp8P3s2bv1pv4OXuMAxhg==;1642473966.115167
Message ke-44;83;bk7HFr7RN++HoGM7YrSIIA==;1642473966.116883
Message ke-45;88;jybuft2aLEXlokKMklMNGg==;1642473966.118793
Message ke-46;86;3+lV4WtBqq0wJcVd2aPZhg==;1642473966.120986
Message ke-47;89;EClpuzmVBd/cAD+IjPLg0g==;1642473966.123148
Message ke-48;63;S2xLmbwUCBTHiPCrGfQrYw==;1642473966.125305
Message ke-49;84;yMkFyd3F601OzEzZip0E0Q==;1642473966.127818
Message ke-50;70;9jK3s6kKYNLd6X4bdLJ61w==;1642473966.129832
Message ke-51;79;pBfAZWwQuc8x+oR+UVKyUQ==;1642473966.131719
Message ke-52;68;VJcrU/dpKKDXlOrwvowGgg==;1642473966.134268
Message ke-53;87;QI4ZvGxt6KUXq994xv1pUg==;1642473966.136184
Message ke-54;82;Z+m5/WcNUWBw5zjYrHeEpA==;1642473966.137925
Message ke-55;75;6zPXmXlgQjdsP+bTU7wdmA==;1642473966.139567
Message ke-56;95;o/vhoxSq4Gd94ibRr6hbCQ==;1642473966.14152
Message ke-57;83;bk7HFr7RN++HoGM7YrSIIA==;1642473966.143204
Message ke-58;89;EClpuzmVBd/cAD+IjPLg0g==;1642473966.145188
Message ke-59;69;cS6HU18ra+hj6RPafd7Shw==;1642473966.147196
Message ke-60;72;kiixP50VIQeODzszBv/1ag==;1642473966.148987
Message ke-61;80;6lOHMdvXMu89hUr6ozL/TQ==;1642473966.150815
Message ke-62;61;tb+kKRDTIGkwyEP+259hxw==;1642473966.152567
Message ke-63;97;WXVVIcFWj9ouu2mVpOmFFg==;1642473966.154257
Message ke-64;69;cS6HU18ra+hj6RPafd7Shw==;1642473966.156012
Message ke-65;80;6lOHMdvXMu89hUr6ozL/TQ==;1642473966.157991
Message ke-66;65;Hfo7zqyKdIYkzsWGD4tmcw==;1642473966.159624
Message ke-67;86;3+lV4WtBqq0wJcVd2aPZhg==;1642473966.161246
Message ke-68;67;jyqXhgA+3WzQBuEX/PrWOA==;1642473966.163402
Message ke-69;96;+TSMpbMyl+QJZN8Fr0XcLw==;1642473966.165153
Message ke-70;64;kQTODyu0gr6onK3V8iSl1g==;1642473966.16699
Message ke-71;75;6zPXmXlgQjdsP+bTU7wdmA==;1642473966.168819
Message ke-72;73;LPdQrI63z7U2MyIOSP+mcA==;1642473966.170803
