Message ke-0;74;15015074686206688263895560132335670986;1640227679.591867
Message ke-1;72;279573627186312824503042113037593025640;1640227679.592503
Message ke-2;64;190532853211015944343160905393755441462;1640227679.593419
Message ke-3;72;338064935208821458278777959587504514021;1640227679.594361
Message ke-4;74;327522238189617312834458651047694872978;1640227679.595403
Message ke-5;62;188442226991342117413268660830545475024;1640227679.596356
Message ke-6;71;184071203627060710104432789365105522131;1640227679.597349
Message ke-7;66;218074496627834907621494560050064530157;1640227679.598306
Message ke-8;79;222231337670090064462327239782151539274;1640227679.599355
Message ke-9;92;67485190268984842044694829303485676660;1640227679.600376
Message ke-10;86;90250836171808583522302464670821299764;1640227679.601394
Message ke-11;92;267318542528581615426340149847707271512;1640227679.602549
Message ke-12;87;299072695347131389740597716110911773276;1640227679.603616
Message ke-13;98;264434231334914898825059012334806976181;1640227679.604711
Message ke-14;86;330182445888730173379604438999505261307;1640227679.605781
Message ke-15;96;66704368656364641557514216277135858262;1640227679.606936
Message ke-16;65;140095152993097466959847584597827575678;1640227679.607998
Message ke-17;99;5261996588165044753383742619061846561;1640227679.609059
Message ke-18;91;174924001379785210113054576869839294201;1640227679.610742
Message ke-19;88;69313193134024904531890980075180642367;1640227679.611806
Message ke-20;61;260895280238826705213654076637189274674;1640227679.612858
Message ke-21;76;19942641634167016806738670602610410088;1640227679.613983
Message ke-22;81;3892398583781712988287672739664939085;1640227679.61513
Message ke-23;89;312307770241599431946268552942357879235;1640227679.616241
Message ke-24;78;228287739382177781167393534461974750876;1640227679.617325
Message ke-25;75;300122648173608442655049349538687796048;1640227679.618553
Message ke-26;81;16195844423413172726619018033915544250;1640227679.619617
Message ke-27;99;99886533360850161484204829012526195950;1640227679.620669
Message ke-28;99;61420803492381461685327257449200893392;1640227679.621755
Message ke-29;95;193890241933858765077456886381241382412;1640227679.622882
Message ke-30;71;25045847589546254620768479214650974211;1640227679.623937
Message ke-31;82;188386533113359519202927762263385982571;1640227679.625
Message ke-32;88;298224194553036431148051273774003473838;1640227679.626064
Message ke-33;80;88791598161637766742307781431963943000;1640227679.627469
Message ke-34;92;78241890799506905041262120689245932267;1640227679.628528
Message ke-35;82;118622171413803969292384913181344699510;1640227679.629589
Message ke-36;85;294672321594925517802975864507884454121;1640227679.630734
Message ke-37;66;333178537610895244782798515766989539486;1640227679.631824
Message ke-38;75;208452981824832745850000690042769109434;1640227679.632866
Message ke-39;91;38000020047977778771533904833770667743;1640227679.633926
Message ke-40;84;270932110441391417233090980791311347007;1640227679.635017
Message ke-41;88;236010158987868615014564916753370553824;1640227679.636138
Message ke-42;81;307659535327185864573795471805495330771;1640227679.637191
Message ke-43;63;280549545678261145341344933759477467435;1640227679.638232
Message ke-44;94;104451432853147745293104611437944613803;1640227679.639347
Message ke-45;91;183159042411155072842712148590287876180;1640227679.6404
Message ke-46;97;180800401550746333858625723463774080153;1640227679.641452
Message ke-47;97;204659407664168138728495573612402439015;1640227679.642548
Message ke-48;72;25054730362397869006728339882966979039;1640227679.643586
